identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
result,0.791374146938324,0.25,0.004854368977248669,0.009523809610817438,1,3,788,205
to,0.7873620986938477,0.125,0.004854368977248669,0.009345794476309044,1,7,784,205
for,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
statement,0.7632898688316345,0.1428571492433548,0.029126213863492012,0.04838709751484212,6,36,755,200
missing,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
true,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
literal,0.7723169326782227,0.07999999821186066,0.009708737954497337,0.01731601741794426,2,23,768,204
keyword,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
format,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
text,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
import,0.7783349752426147,0.05882352963089943,0.004854368977248669,0.008968609945177036,1,16,775,205
substitution,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
reader,0.7883650660514832,0.0,0.0,0.0,0,5,786,206
normal,0.791374146938324,0.0,0.0,0.0,0,2,789,206
source,0.7652958631515503,0.0882352963089943,0.014563106931746006,0.02500000028780455,3,31,760,203
container,0.7873620986938477,0.0,0.0,0.0,0,6,785,206
operation,0.7662988901138306,0.11428571492433548,0.019417475908994675,0.033195021038081605,4,31,760,202
cache,0.7823470234870911,0.07692307978868484,0.004854368977248669,0.009132420191522788,1,12,779,205
enumerator,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
model,0.791374146938324,0.375,0.014563106931746006,0.028037383428927136,3,5,786,203
and,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
or,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
class,0.7813440561294556,0.22727273404598236,0.02427184395492077,0.04385964809746356,5,17,774,201
file,0.7833500504493713,0.25,0.02427184395492077,0.044247786438680305,5,15,776,201
struct,0.791374146938324,0.0,0.0,0.0,0,2,789,206
rule,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
all,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
project,0.79438316822052,0.6000000238418579,0.014563106931746006,0.02843601924267739,3,2,789,203
object,0.7873620986938477,0.0,0.0,0.0,0,6,785,206
foreach,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
event,0.7863590717315674,0.0,0.0,0.0,0,7,784,206
handler,0.791374146938324,0.0,0.0,0.0,0,2,789,206
finally,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
unresolved,0.7923771142959595,0.3333333432674408,0.004854368977248669,0.009569378082366771,1,2,789,205
