identifier,accuracy,precision,recall,Fscore,tp,fp,tn,fn
recorded,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
information,0.791374146938324,0.0,0.0,0.0,0,2,789,206
magic,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
token,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
target,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
computer,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
disk,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
equal,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
postfix,0.791374146938324,0.0,0.0,0.0,0,2,789,206
request,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
validation,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
false,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
commit,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
state,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
install,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
naive,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
verifier,0.7953861355781555,1.0,0.009708737954497337,0.019230769408147604,2,0,791,204
data,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
discard,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
secondary,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
enhanced,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
comparator,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
formatting,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
reporter,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
path,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
collector,0.7903711199760437,0.0,0.0,0.0,0,3,788,206
branch,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
scribe,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
matching,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
stream,0.79438316822052,0.6666666865348816,0.009708737954497337,0.019138756164733543,2,1,790,204
cursor,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
cascading,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
restriction,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
conflict,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
lex,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
detector,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
accessed,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
fields,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
opcode,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
values,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
indent,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
manipulation,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
concatenation,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
skeleton,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
processing,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
add,0.7933801412582397,0.5,0.004854368977248669,0.009615384704073802,1,1,790,205
clinit,0.79438316822052,1.0,0.004854368977248669,0.009661835838340427,1,0,791,205
progress,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
names,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
sibling,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
enumeration,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
brank,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
raw,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
sort,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
unconditional,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
system,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
should,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
not,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
implement,0.7923771142959595,0.0,0.0,0.0,0,1,790,206
